num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,id
4701354,213.21333,0,0,22050,1,0.22667,209.25243,-3.823,104.975,0.646,4,0.989,9,0.258,1,0.39,3.15,4.12,1.0,1.0,0.0457,0.68,0.84,8.66e-06,0.143,0.0414,0.468,4XPWKmy05Rcff6TLHNoNF8
4385316,198.88054,0,0,22050,1,2.41488,191.78522,-7.038,121.939,0.697,4,1.0,5,0.704,1,0.551,3.15,4.12,1.0,1.0,0.0531,0.677,0.753,0.0128,0.333,0.154,0.471,5wGLQvq6JoxYZX7V3ymPS5
4895668,222.02576,0,0,22050,1,0.07587,217.75093,-6.666,123.989,0.82,4,0.835,6,0.471,1,0.61,3.15,4.12,1.0,1.0,0.0343,0.803,0.64,1.72e-06,0.0833,0.0438,0.803,1LGqzzZxPXrdMiZLjgqXNN
4173330,189.26666,0,0,22050,1,0.29596,182.43338,-4.861,105.019,0.608,4,1.0,0,0.629,1,0.643,3.15,4.12,1.0,1.0,0.406,0.705,0.862,0.00311,0.18,0.0332,0.455,4ehErMHPM40f92dks3vb2p
4950666,224.52,0,0,22050,1,0.63864,210.72688,-4.158,127.991,0.778,4,0.991,0,0.521,1,0.546,3.15,4.12,1.0,1.0,0.0268,0.438,0.856,6.27e-06,0.375,0.0584,0.49,65n4DkUhKUO4tECIabKwy1
7913010,358.86667,0,0,22050,1,0.0,344.17776,-7.824,125.01,0.741,4,1.0,7,0.785,0,0.544,3.15,4.12,1.0,1.0,0.142,0.841,0.642,0.378,0.0632,0.0559,0.916,4Iu0WRLGNnpxgZfTdf2QUC
4534950,205.66667,0,0,22050,1,0.08748,200.69006,-6.817,123.353,0.731,4,1.0,7,0.755,1,0.566,3.15,4.12,1.0,1.0,0.0023,0.75,0.779,0.402,0.476,0.0497,0.702,7iQ1TjOoYi33BupikScqAa
5253192,238.24,0,0,22050,1,0.12204,231.87447,-6.962,127.981,0.957,4,1.0,2,0.0,1,0.097,3.15,4.12,1.0,1.0,0.0219,0.821,0.9,0.759,0.036,0.0661,0.578,2h4iLLAN8wspR4487Q3Mlu
6010892,272.6028,0,0,22050,1,0.0,269.2818,-7.434,127.959,0.926,4,1.0,5,0.831,1,0.563,3.15,4.12,1.0,1.0,0.000151,0.749,0.766,0.569,0.0258,0.0369,0.883,3wQ89oAZ38EgpVKzRbBPoX
8378706,379.98666,0,0,22050,1,0.0,372.9473,-9.117,117.005,0.96,4,1.0,7,0.474,1,0.435,3.15,4.12,1.0,1.0,0.262,0.715,0.648,0.489,0.0872,0.0502,0.221,6HZ42MWX5X0PyhH41oXlpH
5332351,241.82999,0,0,22050,1,0.0,235.47937,-9.367,130.019,0.828,4,1.0,4,0.491,0,0.401,3.15,4.12,1.0,1.0,0.00319,0.718,0.739,0.347,0.0697,0.0394,0.963,0UP2Ymsg53eCVtWQnRK0tf
4109385,186.36667,0,0,22050,1,0.1102,181.14467,-9.482,105.996,0.685,4,1.0,4,0.703,0,0.52,3.15,4.12,1.0,1.0,0.246,0.736,0.633,0.0116,0.0954,0.0617,0.45,6FV9boOCngyfMtlyzJdKn2
4923732,223.2985,0,0,22050,1,0.11642,219.50984,-9.864,77.988,0.48,4,0.975,7,0.78,0,0.648,3.15,4.12,1.0,1.0,0.056,0.633,0.476,0.893,0.134,0.0263,0.161,6ZcFfFLGGeokAQNxwCL9cv
5377355,243.87099,0,0,22050,1,0.0,235.6477,-7.916,124.016,0.592,4,1.0,9,0.353,1,0.417,3.15,4.12,1.0,1.0,0.0296,0.858,0.737,0.91,0.21,0.0476,0.537,1n633WUCp9jOwrgaJBACxO
7494040,339.86575,0,0,22050,1,0.0,332.9335,-4.824,149.022,0.755,4,0.999,5,0.285,0,0.487,3.15,4.12,1.0,1.0,0.137,0.748,0.855,0.00929,0.0878,0.0469,0.58,7vV53asgC42Q2F2MTvhnuL
5581093,253.1108,0,0,22050,1,0.0,244.70349,-5.309,110.015,0.725,4,1.0,0,0.638,0,0.645,3.15,4.12,1.0,1.0,0.126,0.687,0.772,2.8e-05,0.1,0.0509,0.52,7AoCZm5JpcgiIpQz8ClelB
6955671,315.44992,0,0,22050,1,0.12168,309.57425,-6.639,105.0,0.832,4,1.0,5,0.136,0,0.392,3.15,4.12,1.0,1.0,0.321,0.68,0.688,0.000758,0.124,0.0262,0.664,7yC8FvKyzrV962hTeeJyE5
4308570,195.4,0,0,22050,1,0.37751,186.20662,-5.946,129.969,0.897,4,1.0,0,0.306,1,0.483,3.15,4.12,1.0,1.0,0.00222,0.71,0.651,1.2e-06,0.0752,0.0483,0.84,0DaPYeTMHxcb2bn4KQRv1e
4782498,216.89333,0,0,22050,1,0.22073,211.92271,-6.122,85.934,0.083,4,1.0,8,0.503,0,0.116,3.15,4.12,1.0,1.0,0.0687,0.63,0.64,0.000142,0.15,0.0457,0.629,4Rg9t7H7B4LaUnYqA6zPKK
5416031,245.62498,0,0,22050,1,0.23057,236.17017,-4.853,128.052,0.917,4,0.535,6,0.518,0,0.592,3.15,4.12,1.0,1.0,0.00155,0.711,0.916,0.124,0.36,0.0884,0.576,6FZN2amzBuml8qSLwD6Ioj
6476800,293.73242,0,0,22050,1,0.57546,283.82913,-5.559,124.971,0.328,4,1.0,6,0.606,1,0.592,3.15,4.12,1.0,1.0,6.54e-05,0.58,0.89,0.000446,0.0518,0.036,0.909,4MyRUTclaBI8BMimqzxZPg
5027400,228.0,0,0,22050,1,3.03601,206.2048,-8.101,100.006,0.263,4,1.0,0,0.754,1,0.651,3.15,4.12,1.0,1.0,0.525,0.737,0.678,0.00112,0.099,0.0304,0.439,3wfZGgYrPobKwM017bdHnd
4414116,200.18668,0,0,22050,1,0.0,186.93224,-4.867,127.985,0.836,4,1.0,8,0.056,1,0.259,3.15,4.12,1.0,1.0,0.0257,0.652,0.9,0.000148,0.48,0.0748,0.577,0ALOyFH9xCorYpyU9IjQb4
5443116,246.85333,0,0,22050,1,0.18567,240.79672,-5.409,111.001,0.979,4,1.0,0,0.517,0,0.594,3.15,4.12,1.0,1.0,0.0535,0.655,0.812,0.00307,0.0989,0.0282,0.783,1sZAW9Tb9Woc1EHwBLPNVq
4094538,185.69333,0,0,22050,1,0.0,176.24525,-3.171,122.923,0.669,4,0.955,1,0.146,0,0.354,3.15,4.12,1.0,1.0,0.0335,0.599,0.798,0.000107,0.168,0.0349,0.553,6qhbaLaVXLbV6aq80GvITr
5167638,234.36,0,0,22050,1,4.34213,224.39764,-4.364,127.945,0.881,4,0.966,7,0.16,1,0.421,3.15,4.12,1.0,1.0,0.00131,0.596,0.952,0.0,0.598,0.0873,0.571,7B1Dl3tXqySkB8OPEwVvSu
4811092,218.19011,0,0,22050,1,3.92998,207.30196,-3.827,126.136,0.81,4,1.0,11,0.719,0,0.708,3.15,4.12,1.0,1.0,0.0022,0.583,0.942,0.00325,0.0912,0.0473,0.607,1ztbs9oxLOfYcDr5xL8loQ
6716430,304.6,0,0,22050,1,0.0,304.6,-4.674,88.634,0.111,4,0.982,1,0.689,0,0.57,3.15,4.12,1.0,1.0,0.303,0.867,0.646,0.0,0.279,0.288,0.67,6MdqqkQ8sSC0WB4i8PyRuQ
2674812,121.30667,0,0,22050,1,0.19664,118.21279,-7.51,129.715,0.82,4,0.943,8,0.555,1,0.546,3.15,4.12,1.0,1.0,0.00211,0.658,0.726,0.00229,0.0922,0.0856,0.874,4F64QXRV1EGHSm5jIeMmcQ
